ALTVVAXA	37.11391	-79.28256
ALTWMDAT	38.77583	-76.95620
ALTWNJAL	40.17611	-74.58485
ALTWNJCC	40.12051	-74.58680
ALTWPAAE	40.63897	-75.44942
ALTWPAAL	40.60408	-75.46808
ALTWPACS	40.60841	-75.48628
ALTWPACY	40.58669	-75.61139
ALTWPADT	40.60841	-75.48628
ALTWPAHS	40.60408	-75.46808
ALTWPAMT	40.57592	-75.45788
ALVAFLXA	26.70776	-81.61231
ALVAOKMA	36.80234	-98.67302
ALVDMNXA	48.19375	-96.99671
ALVDTXTI	32.40519	-97.21101
ALVJCABB	33.57280	-117.71926
ALVLALMA	34.26745	-86.21064
ALVLPAXA	40.53108	-77.81577
ALVNILXC	40.31225	-87.60580
ALVNSK01	52.51803	-106.02384
ALVNTXAL	29.41577	-95.25047
ALVRIAXO	43.33196	-96.31174
ALVRTXXA	33.35720	-97.69625
ALWDVAXA	37.66874	-79.21347
ALXNIAXO	42.80826	-93.47443
ALXNILXG	39.72380	-90.04206
ALXNIN01	40.26694	-85.67557
ALXNKYAL	38.96622	-84.38246
ALXNLA19	31.23439	-92.45996
ALXNLABS	31.27772	-92.46647
ALXNLADV	31.35855	-92.17064
ALXNLAIP	31.30719	-92.45091
ALXNLAMA	31.30719	-92.45091
ALXNLATG	31.38876	-92.42543
ALXNMB01	49.83070	-100.29084
ALXNMNAF	45.85362	-95.39058
ALXNMNXA	45.88341	-95.37253
ALXNMNXL	45.92892	-95.37345
ALXNNDXA	47.84361	-103.64317
ALXNNEXL	40.24971	-97.38992
ALXNOHXA	40.08795	-82.61400
ALXNON21	45.31830	-74.63332
ALXNPAAX	40.55727	-78.09133
ALXNSDXA	43.65437	-97.77927
ALXNTXXA	32.05859	-98.20654
ALXNVAAD	38.82297	-77.15737
ALXNVAAX	38.81780	-77.05471
ALXNVABA	38.84266	-77.11127
ALXNVABH	38.77125	-77.08182
ALXNVABR	38.80046	-77.08445
ALXNVACN	38.81086	-77.10380
ALXNVAFR	38.78105	-77.15172
ALXNVAGB	38.80826	-77.09896
ALXNVAMV	38.72702	-77.09255
ALXNVAWB	38.83370	-77.10493
ALXSILXD	41.06229	-90.55394
ALZDMTXC	45.02994	-104.41239
AMANIAXO	41.80878	-91.87286
AMBGKYXA	37.22796	-82.97945
AMBGWIXA	45.50253	-87.99063
AMBLAKXA	67.09030	-157.84779
AMBLMIAA	43.42918	-85.38508
AMBLMIXJ	43.42918	-85.38508
AMBLPAAM	40.15360	-75.22389
AMBRIAAM	42.12083	-91.16880
AMBRNDXA	48.95495	-103.48119
AMBRNYAB	42.89178	-76.29661
AMBRPAAM	40.59279	-80.22995
AMBUTNXA	36.10791	-84.59889
AMBYILXA	41.71261	-89.33216
AMBYMNXA	43.88853	-94.15887
AMBYWAAC	45.95506	-122.41991
AMBYWAXA	45.90642	-122.44494
AMDAOHXA	39.64822	-82.74373
AMDNNDXA	46.48296	-103.19489
AMELVAXA	37.34150	-77.97580
AMENNYAN	41.84537	-73.56089
AMESIAAI	42.07693	-93.00899
AMESIABN	42.07008	-93.58843
AMESIASN	42.03209	-93.61124
AMESIATC	42.02787	-93.61378
AMESIAWS	42.02041	-93.65200
AMESOKXA	36.24277	-98.20041
AMFKUTMA	40.37737	-111.80037
AMFLID01	42.76878	-112.93909
AMFLIDMA	42.78392	-112.85224
AMHRMAFE	42.37955	-72.52785
AMHRMASP	42.37395	-72.51812
AMHRNEXG	40.83550	-99.27118
AMHRNS01	45.83494	-64.20633
AMHRNY16	43.04306	-78.73552
AMHRNYMP	43.01903	-78.76542
AMHROHXA	41.39997	-82.22266
AMHROHXB	41.35991	-82.24117
AMHRTXXA	34.01444	-102.41694
AMHRVAXA	37.58331	-79.04888
AMHRWIXA	44.44983	-89.28314
AMITLAMA	30.72576	-90.51611
AMLKAKXA	60.86104	-162.27592
AMOSKYXA	37.95023	-83.62569
AMOSPQXT	48.57783	-78.11747
AMQUPQXQ	48.46853	-67.43493
AMRCGAAN	32.05435	-84.17883
AMRCGAMA	32.07144	-84.23579
AMRCGAPC	32.05664	-84.18353
AMRCKSXA	38.50784	-96.25684
AMRLTX02	35.20634	-101.83823
AMRLTX91	35.20634	-101.83823
AMRLTX92	35.20634	-101.83823
AMRLTX98	35.20634	-101.83823
AMRLTXDI	35.22266	-101.67149
AMRLTXDR	35.22386	-101.83090
AMRLTXEV	35.25301	-101.81277
AMRLTXFL	35.17281	-101.85817
AMRLTXJW	35.17880	-101.87933
AMRLTXLJ	53.84535	-116.94608
AMRLTXOS	35.09050	-101.80977
AMRLTXUT	35.20634	-101.83823
AMRNMB01	50.60079	-98.73374
AMRTMOXA	38.25901	-94.58240
AMRYMSAQ	33.99347	-88.48907
AMRYMSMA	33.98936	-88.49158
AMRYWIXA	45.30968	-92.34676
AMSAMIMN	46.23119	-88.44668
AMSBMAPL	42.85309	-70.93544
AMSTMOXA	38.34776	-94.59095
AMSTMTMA	45.75901	-111.30945
AMSTNYPE	42.93985	-74.19795
AMSTOHXA	40.47259	-80.92465
AMTYARXA	34.26630	-93.46837
AMTYORXX	45.11999	-123.20660
AMVLOHXA	39.39950	-81.95264
AMVLORXX	44.84317	-122.87106
AMZNMOXA	39.88253	-94.89323
ANARMIMN	42.28113	-83.74725
ANARMISE	42.24676	-83.68135
ANATWAXX	46.18945	-116.98696
ANCHNMXC	35.18863	-105.14598
ANCLPQ01	46.79961	-71.34660
ANCMCA01	38.07535	-120.54359
ANCNMT01	46.10033	-112.94947
ANCNMTAF	46.10033	-112.94947
ANCNMTMA	46.12823	-112.94851
ANCRAK02	61.22569	-149.81409
ANCRAKBZ	61.56588	-150.20518
ANCRAKMW	61.18148	-149.88684
ANCRAKXC	61.18842	-149.87268
ANCRAKXE	61.21026	-149.74020
ANCRAKXN	61.20853	-149.89011
ANCRAKXO	61.12327	-149.76611
ANCRAKXR	61.10314	-149.74883
ANCRAKXS	61.14528	-149.85555
ANCRAKXW	61.16722	-149.94510
ANCRAKZA	61.23448	-149.87222
ANCRWAXX	48.51949	-122.61376
ANCSON04	43.22609	-79.97606
ANDLKSHI	37.79424	-97.63095
ANDLMNXB	45.26378	-94.12461
ANDRAB01	53.88204	-112.33272
ANDRIAXO	42.15080	-90.60020
ANDRIN01	40.85845	-85.59936
ANDRNCXA	35.20260	-83.82310
ANDROKMA	35.07180	-98.25297
ANDRSCXA	33.44905	-79.56150
ANDRTXXA	32.31939	-102.54381
ANDSALXA	31.30699	-86.48294
ANDSNYXA	42.18877	-74.78376
ANDVILXD	41.29515	-90.29394
ANDVMAEL	42.65770	-71.13980
ANDVMAFM	42.66188	-71.12708
ANDVMEXA	44.63804	-70.74545
ANDVNHXA	43.43647	-71.82073
ANDVNJXU	40.98898	-74.74052
ANDVNYXA	42.15468	-77.79527
ANDVOHXA	41.60691	-80.59804
ANDVSDXA	45.40876	-97.90585
ANFRNMMA	36.37846	-105.28559
ANGEKYXA	36.71146	-84.48218
ANGENYAG	42.30780	-78.01986
ANGILAMA	30.96782	-89.81345
ANGLDEAN	38.67984	-75.12804
ANGLINXA	41.63587	-85.00012
ANGLNYAO	42.63857	-79.02609
ANGLSCXA	34.65004	-80.39162
ANGNAKXA	57.50151	-134.58069
